iter	Passed	Remaining
0	1	189
1	3	154
2	4	142
3	5	134
4	6	131
5	8	128
6	9	125
7	10	123
8	11	120
9	13	118
10	14	117
11	15	115
12	16	113
13	18	111
14	19	109
15	20	108
16	22	107
17	23	106
18	24	104
19	25	103
20	27	101
21	28	100
22	29	98
23	31	100
24	33	101
25	34	99
26	36	97
27	37	95
28	38	94
29	39	93
30	41	91
31	42	89
32	43	87
33	44	86
34	45	84
35	46	83
36	47	81
37	49	80
38	50	79
39	51	77
40	52	76
41	54	74
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	67	61
52	68	60
53	69	59
54	70	57
55	72	56
56	73	55
57	74	54
58	76	52
59	77	51
60	79	50
61	80	49
62	82	48
63	83	47
64	84	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	93	36
72	94	35
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	101	27
79	102	25
80	104	24
81	105	23
82	106	21
83	108	20
84	109	19
85	110	18
86	111	16
87	113	15
88	114	14
89	115	12
90	116	11
91	118	10
92	119	9
93	120	7
94	122	6
95	123	5
96	125	3
97	127	2
98	128	1
99	129	0
